"fips","pre_covid_cases","post_covid_cases","pre_week_diff"
"48139",315,329,-9
"20053",31,188,21
"01051",271,247,15
"16039",57,121,17
"13107",115,90,-17
"49015",19,52,3
"19063",38,81,10
"26047",15,140,-5
"38029",123,26,-17
"51595",15,27,3
"48143",96,98,-4
"36029",748,938,28
"39043",98,163,-18
"42049",128,337,-2
"01053",82,65,4
"12033",380,701,120
"25009",1261,2353,191
"34013",398,2743,46
"36031",15,15,1
"50009",0,1,0
"51057",17,12,-3
"21065",73,53,-25
"01055",328,521,18
"32011",0,1,0
"22039",64,33,-8
"13109",23,29,-1
"02090",232,473,46
"51059",1144,1484,-56
"51600",5,17,1
"09001",614,2787,-62
"39045",218,526,16
"45039",49,36,-15
"72053",151,108,45
"46047",17,71,-1
"30025",4,51,2
"48145",87,51,21
"51610",4,0,-2
"13111",121,68,5
"48147",39,64,17
"27043",21,60,13
"46049",23,74,-5
"05045",463,395,-57
"51061",63,88,-17
"01057",65,72,11
"13113",176,148,52
"17051",152,123,-24
"18041",28,348,-14
"19065",66,93,2
"21067",1150,1338,-110
"39047",24,90,12
"42051",57,140,11
"47047",148,318,-10
"48149",49,17,-19
"54019",138,82,-38
"47049",217,135,35
"30027",12,82,-2
"53019",0,5,2
"27045",38,61,8
"31059",9,48,-3
"20055",174,473,30
"48151",3,27,-3
"12035",154,221,-26
"30029",442,1038,64
"21069",10,80,-4
"45041",269,342,-55
"55037",47,74,3
"72054",48,32,0
"13115",414,614,-114
"18043",150,295,48
"19067",80,63,14
"21071",27,175,7
"48153",10,9,0
"51063",16,20,0
"51065",93,28,-75
"48155",5,2,3
"55039",709,1500,65
"17053",22,55,-4
"20057",331,251,-39
"42053",1,2,-1
"55041",122,114,4
"28035",248,235,-14
"13117",503,377,61
"37067",403,1071,19
"48157",847,833,-1
"38031",15,72,-1
"18045",18,105,4
"01059",91,155,-7
"05047",68,105,-4
"12037",43,86,3
"13119",75,137,-29
"16041",64,114,2
"17055",106,280,-12
"18047",25,58,-1
"19069",24,36,-10
"20059",99,108,27
"21073",90,116,42
"22041",48,85,-4
"23007",9,7,-5
"25011",15,47,1
"28037",16,30,-2
"29071",436,575,0
